log_entry,log_level
17/06/09 12:22:13 INFO executor.Executor: Running task 10.0 in stage 9068.0 (TID 363160),INFO
17/06/08 10:35:18 INFO storage.BlockManager: Found block rdd_2_32 locally,INFO
17/06/09 11:11:31 INFO broadcast.TorrentBroadcast: Reading broadcast variable 586 took 5 ms,INFO
17/06/09 16:46:54 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 34411,INFO
17/06/09 11:51:25 INFO storage.BlockManager: Removing RDD 108,INFO
17/06/09 21:30:00 INFO executor.Executor: Running task 5.0 in stage 3363.0 (TID 135806),INFO
17/06/09 19:48:52 INFO storage.BlockManager: Found block rdd_2449_21 locally,INFO
17/06/08 12:06:00 INFO executor.Executor: Finished task 33.0 in stage 44.0 (TID 1793). 2667 bytes result sent to driver,INFO
17/06/09 15:56:22 INFO executor.Executor: Running task 39.0 in stage 1000.0 (TID 41959),INFO
17/06/09 11:20:11 INFO executor.Executor: Running task 14.0 in stage 1949.0 (TID 78415),INFO
